,intensity_Caffeine_i1_mean,intensity_Caffeine_i2_mean,intensity_Caffeine_i3_mean,intensity_Caffeine_f1_mean,intensity_Fluconazole_i1_mean,intensity_Fluconazole_i2_mean,intensity_Fluconazole_i3_mean,intensity_Fluconazole_f1_mean,intensity_3Heptadecafluorooctylaniline_i1_mean,intensity_3Heptadecafluorooctylaniline_i2_mean,intensity_3Heptadecafluorooctylaniline_i3_mean,intensity_Albendazole_i1_mean,intensity_Albendazole_i2_mean,intensity_Albendazole_i3_mean,intensity_Albendazole_f1_mean,intensity_Albendazole_f2_mean,intensity_Triamcinolone_acetonide_i1_mean,intensity_Triamcinolone_acetonide_i2_mean,intensity_Triamcinolone_acetonide_i3_mean,intensity_Triamcinolone_acetonide_f1_mean,intensity_Triamcinolone_acetonide_f2_mean,intensity_Perfluorodecanoic_acid_i1_mean,intensity_Perfluorodecanoic_acid_i2_mean,intensity_Perfluorodecanoic_acid_i3_mean,intensity_Perfluorodecanoic_acid_f1_mean,intensity_Tricosafluorododecanoic_acid_i1_mean,intensity_Tricosafluorododecanoic_acid_i2_mean,intensity_Tricosafluorododecanoic_acid_i3_mean,intensity_Tricosafluorododecanoic_acid_f1_mean,intensity_Perfluorotetradecanoic_acid_i1_mean,intensity_Perfluorotetradecanoic_acid_i2_mean,intensity_Perfluorotetradecanoic_acid_i3_mean,intensity_Perfluorotetradecanoic_acid_f1_mean,intensity_Perfluorotetradecanoic_acid_f2_mean,intensity_Pentadecafluoroheptyl_i1_mean,intensity_Pentadecafluoroheptyl_i2_mean,intensity_Pentadecafluoroheptyl_i3_mean
bayes_ridge,17.5,18.3,21.4,16.0,6.2,6.9,6.5,6.9,10.2,9.9,8.6,21.5,34.9,36.8,16.2,13.1,7.1,6.2,15.6,11.8,11.9,2.3,2.7,6.6,2.4,2.1,2.8,6.9,3.2,2.5,3.2,7.4,3.7,17.7,62.8,21.2,35.8
elastic,15.0,17.4,20.3,12.9,5.4,4.9,6.1,5.8,9.7,6.5,8.3,15.4,28.1,33.5,11.5,11.9,6.2,6.2,14.7,8.8,9.4,2.0,2.6,6.6,1.9,1.7,2.6,6.4,2.5,2.3,2.7,7.1,3.1,15.4,18.9,21.7,35.5
lars,17.6,22.4,29.1,20.9,6.7,7.1,6.6,8.3,12.9,10.5,9.0,23.3,40.6,34.1,22.2,14.8,7.1,6.6,18.0,13.1,16.2,2.4,3.0,7.5,3.9,2.7,3.3,8.3,4.1,2.5,3.3,7.8,4.3,19.2,63.3,22.1,44.3
lasso,16.7,18.5,21.7,14.0,5.7,6.0,7.5,6.9,10.5,8.2,8.4,21.9,38.7,30.2,16.8,13.5,6.5,6.2,17.1,9.3,10.5,2.3,2.7,6.9,2.3,1.9,2.8,6.5,2.9,2.4,2.8,7.1,3.6,15.7,88.6,23.1,38.6
ridge,16.4,18.1,21.0,14.5,5.0,5.0,6.3,6.3,9.9,6.8,8.3,17.4,31.9,33.7,13.3,12.0,6.7,6.2,15.5,9.6,9.4,2.0,2.6,6.5,2.0,1.8,2.6,6.8,2.7,2.3,3.0,7.3,3.4,15.9,46.6,21.8,35.1
